recipe_id,source_page,design_no,parts,cloth,n1,n2,n3,n4,n5,tikli,jari_note,image,notes,clarity
R2136,73,5000,neck+jod+border,,779 Royal,414 Royal,118 Royal,6 Royal,23 Raj,,,Jeetubhai Images\OS New folder (4) Images\5000 Neck.BMP,,high
R2155,73,8065,neck,,104 N Raj,719 Royal,M Royal,,,,mora,Jeetubhai Images\OS New folder (8) Images\8065 Neck 250.BMP,,high
R2156,73,8065,neck,,74 N Raj,782 Royal,731 D Royal,,,,mora,Jeetubhai Images\OS New folder (8) Images\8065 Neck 250.BMP,,high
R2157,73,8065,neck,,834 DD Raj,104 N Raj,768 D Royal,,,,mora,Jeetubhai Images\OS New folder (8) Images\8065 Neck 250.BMP,,high
R2158,73,8066,neck,,305 D Royal,235 Royal,188 T Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8066 Neck 250.BMP|Jeetubhai Images\OS New folder (8) Images\8066 Neck.BMP,,high
R2160,73,8066,neck,,75 Royal,235 Royal,810 Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8066 Neck 250.BMP|Jeetubhai Images\OS New folder (8) Images\8066 Neck.BMP,,high
R2161,73,8067,neck,,305 D Royal,235 Royal,188 T Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8067 Neck.BMP,,high
R2163,73,8067,neck,,75 Royal,235 Royal,810 Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8067 Neck.BMP,,high
R2179,74,8004,neck+border,,104 N Raj,719 Royal,321 Royal,M Royal,,,,Jeetubhai Images\OS New folder (8) Images\8004 border 200.JPG,,high
R2180,74,8004,neck+border,,74 N Raj,782 Royal,321 Royal,731 D Royal,,,,Jeetubhai Images\OS New folder (8) Images\8004 border 200.JPG,,high
